,element,Unit_lattice_constant,lattice_constant_a,lattice_constant_b,lattice_constant_c,Tc,Element_Normalize,Tc_mean,Tc_range
0,La1.85Ba0.15Cu1O4,,,,,30.0,Ba3La37(CuO4)20,28.82,2.0
1,La1.85Sr0.15Cu1O4,,,,,39.0,Sr3La37(CuO4)20,36.01482142857143,22.299999999999997
2,Lu1.8Ba0.2Cu1O4,,,,,71.9,BaLu9(CuO4)5,71.9,0.0
3,Y0.9Ba0.1Cu1O4,,,,,81.0,BaY9(CuO4)10,81.0,0.0
4,Ba0.15La1.85Cu1O4,,,,,28.0,Ba3La37(CuO4)20,28.82,2.0
5,Sr0.15La1.85Cu1O4,,,,,34.7,Sr3La37(CuO4)20,36.01482142857143,22.299999999999997
6,Sr0.2La1.8Cu0.95Ti0.05O4,,,,,21.0,Sr4La36TiCu19O80,21.0,0.0
7,Sr0.2La1.8Cu0.99V0.01O4,,,,,12.0,Sr20La180VCu99O400,12.0,0.0
8,Sr0.2La1.8Cu0.99Cr0.01O4,,,,,22.0,Sr20La180CrCu99O400,22.0,0.0
9,Sr0.2La1.8Cu0.98Mn0.02O4,,,,,32.0,Sr10La90MnCu49O200,32.0,0.0
10,Sr0.2La1.8Cu0.95Fe0.05O4,,,,,30.0,Sr4La36FeCu19O80,30.0,0.0
11,Sr0.2La1.8Cu0.95Co0.05O4,,,,,16.0,Sr4La36CoCu19O80,16.0,0.0
12,Sr0.2La1.8Cu0.95Ni0.05O4,,,,,21.0,Sr4La36Cu19NiO80,21.0,0.0
13,Sr0.2La1.8Cu0.99Zn0.01O4,,,,,29.0,Sr20La180ZnCu99O400,23.333333333333332,18.0
14,Pr0.1La1.7Sr0.2Cu1O4,,,,,36.0,Sr2La17Pr(CuO4)10,36.0,0.0
15,Nd0.1La1.7Sr0.2Cu1O4,,,,,35.0,Sr2La17Nd(CuO4)10,35.0,0.0
16,Sm0.1La1.7Sr0.2Cu1O4,,,,,32.0,Sr2La17Sm(CuO4)10,32.0,0.0
17,Gd0.1La1.7Sr0.2Cu1O4,,,,,30.0,Sr2La17Gd(CuO4)10,30.0,0.0
18,Y1Ba2Cu2.85Fe0.15O7,,,,,51.0,Ba40Y20Fe3Cu57O140,51.0,0.0
19,Y1Ba2Cu2.7Fe0.3O7,,,,,33.0,Ba20Y10Fe3Cu27O70,41.9,17.799999999999997
20,Y1Ba2Cu2.97Fe0.03O7,,3.822,3.891,11.67,82.0,Ba200Y100Fe3Cu297O700,86.6,9.200000000000003
21,Y1Ba2Cu2.94Fe0.06O7,,,,,60.0,Ba100Y50Fe3(Cu21O50)7,74.10000000000001,29.299999999999997
22,Y1Ba2Cu2.88Fe0.12O7,,,,,54.0,Ba50Y25Fe3Cu72O175,66.825,25.0
23,Y1Ba2Cu3O7,,3.822,3.891,11.67,90.0,Ba2YCu3O7,90.18623188405797,45.5
24,Y1Ba2Cu3S1O6,,3.855,3.919,11.75,90.0,Ba2YCu3SO6,89.5,1.0
25,Y1Ba2Cu3Cl1O6,,,,,72.0,Ba2YCu3ClO6,72.0,0.0
26,Y1Ba2Cu3O7,,,,,93.0,Ba2YCu3O7,90.18623188405797,45.5
27,La1.85Sr0.15Cu1O4,,,,,36.0,Sr3La37(CuO4)20,36.01482142857143,22.299999999999997
28,Y1Ba2Cu3O7,,,,,91.85,Ba2YCu3O7,90.18623188405797,45.5
29,Y1Ba2Cu3O7,,,,,91.95,Ba2YCu3O7,90.18623188405797,45.5
30,Y1Ba2Cu3O7,,,,,89.7,Ba2YCu3O7,90.18623188405797,45.5
31,Y1Ba2Cu3O7,,,,,89.9,Ba2YCu3O7,90.18623188405797,45.5
32,Y1Ba2Cu3O7,,3.817,3.883,11.633,90.0,Ba2YCu3O7,90.18623188405797,45.5
33,Y1Ba2Cu3O6.9,,,,,95.0,Ba20Y10(Cu10O23)3,90.9753947368421,15.0
34,Y1Ba2Cu3O7,,3.824,3.887,11.657,91.6,Ba2YCu3O7,90.18623188405797,45.5
35,Y1Ba2Cu2.75Ni0.25O7,,3.819,3.886,11.657,63.9,Ba8Y4Cu11NiO28,58.95,9.899999999999999
36,Y1Ba2Cu3O7,,3.851,3.851,11.672,92.0,Ba2YCu3O7,90.18623188405797,45.5
37,Y1Ba2Cu2.95Al0.05O7,,3.835,3.884,11.688,88.0,Ba40Y20AlCu59O140,88.0,0.0
38,Y1Ba2Cu2.9Al0.1O7,,3.844,3.895,11.657,75.0,Ba20Y10AlCu29O70,75.0,0.0
39,La1.85Sr0.15Cu1O4,,3.777,,13.226,39.3,Sr3La37(CuO4)20,36.01482142857143,22.299999999999997
40,La1.85Sr0.15Cu0.975Ni0.025O4,,3.775,,13.222,22.6,Sr6La74Cu39NiO160,19.98,10.3
41,La1.85Sr0.15Cu0.95Ni0.05O4,,3.776,,13.208,4.2,Sr3La37Cu19NiO80,4.2,0.0
